average,network
0.3277402453040353,"[[[[0.35399778764414574, 0.8489573781946218, 0.36383374344812996, 0.5898280362785867], [0.6968147789907168, 0.4798745949561096, 0.6473707401023658, 0.32264988850077564], [0.7644284175332792, 0.914442098265195, 0.7016233459759289, 0.1479143462844037], [0.11653093525911255, 0.2825182633251628, 0.9696414907257932, 0.38647008453801013]], [[0.2801999380758247, 0.8287091630642384, 0.2489268889585484, 0.6563284468285694], [0.2526840950144508, 0.8828260060065081, 0.19104652824063748, 0.7711374206567352], [0.6881220862726752, 0.5610545599474188, 0.9228666147862266, 0.09767274270725912], [0.7908950079273257, 0.02497264859978162, 0.008147694712625704, 0.8506414526050554]], [[0.18146715952373493, 0.9322868160880036, 0.1418288637578664, 0.03567110811613241], [0.5720462694634793, 0.34588265904860915, 0.1283057518791402, 0.2824363765052833], [0.6004305597099492, 0.28444371342652386, 0.9104966920541695, 0.4695103991735731], [0.14363706827850115, 0.735410434058034, 0.9475295306041456, 0.2269416647583863]]], [[0.726547742446826, 0.48704050119168485, 0.3834193134053779, 0.9815884434358471], [0.1058851761459615, 0.799344820944729, 0.8338694372255722, 0.10076171901828042], [0.9623911363281805, 0.8815795037707792, 0.7771371413518031, 0.6060564654220367]]]"
0.3296989597849205,"[[[[0.3550622670861597, 0.8495643062539203, 0.3641093544416204, 0.591316458540764], [0.6966591930568583, 0.47855109188614725, 0.6483595967281701, 0.3237940917164427], [0.7642681133688002, 0.9175246678231984, 0.7036628797925975, 0.14832308033346378], [0.11831211526875428, 0.283677691340392, 0.9724862493285114, 0.3873137826420935]], [[0.28038098195764605, 0.8315757822354454, 0.24889489146692928, 0.6564307867994761], [0.254758663549281, 0.8831139570056576, 0.19224558424891722, 0.7727998753479678], [0.6903694989675022, 0.5630870848268229, 0.9230867841182289, 0.09913344693859219], [0.7920240838489927, 0.026146567135522082, 0.008482861020081766, 0.8520375932288847]], [[0.18232876302225295, 0.933463310276252, 0.14272418705174678, 0.03773329317543716], [0.5750154847572182, 0.3455401385536361, 0.1298994566001305, 0.2833087735791294], [0.6022130222005464, 0.2858721395680015, 0.9126704690107437, 0.47072511344732315], [0.1446535648223358, 0.7375118723822409, 0.9482431053532242, 0.22870767966529715]]], [[0.7258337163405483, 0.48624064588658283, 0.38503904889045965, 0.9839116567749461], [0.10742204757349477, 0.8016835027300017, 0.8348349710664588, 0.10107225163272437], [0.9630460836108358, 0.8824352915975966, 0.7787634112348591, 0.605550178975675]]]"
0.33129767805751376,"[[[[0.3547245976364759, 0.8491919716840908, 0.363315197544995, 0.5905821070166136], [0.6962579551908754, 0.4777751716910407, 0.6473117011456354, 0.32388136496435577], [0.7637660985328758, 0.9173409921309362, 0.7036139874262052, 0.14796409250396106], [0.1181056794450997, 0.2836692069324262, 0.972395933676862, 0.38712299860608973]], [[0.28029469229646764, 0.8309572840499183, 0.24833064931693757, 0.6562461554126505], [0.2545720275448526, 0.8826745395593307, 0.19164338713278167, 0.7724663415823195], [0.6907284741742061, 0.5629274402632224, 0.9230846349299184, 0.09853327965052086], [0.7917012698336967, 0.02593036903415245, 0.008380345756782826, 0.8515731679629421]], [[0.18205479941668581, 0.9329774816630131, 0.14276344235004348, 0.03687642122118064], [0.5748338440768217, 0.34525332767403377, 0.1298883804485182, 0.2831113992055065], [0.6019027556378386, 0.28535883258417244, 0.9124597461471405, 0.4705184028505282], [0.1438035076500514, 0.7369647051230153, 0.9479599019499386, 0.22804723671806668]]], [[0.7251273997840315, 0.4862792192216216, 0.38487244407533494, 0.9833552569057786], [0.10706326781398516, 0.8010547416440509, 0.8344558986117087, 0.10103683683381452], [0.9627366095686535, 0.8819424812590284, 0.7783091322862219, 0.6049670036643549]]]"
0.3278945312727978,"[[[[0.8423146474603932, 0.08177409382529434, 0.8947953612530908, 0.5025890740344516], [0.9782572519493595, 0.016624336117489764, 0.5544860174721007, 0.4403096258848795], [0.1600751678241087, 0.6176150132078523, 0.8917610643287343, 0.0016787492097531582], [0.5092362811339411, 0.17009131292486526, 0.9823142058616152, 0.07511953411737998]], [[0.34319818451562806, 0.7763089673253478, 0.12698326962010417, 0.1004042270029226], [0.5575042512915571, 0.3711983262325919, 0.7007924789379961, 0.4432718064779299], [0.6650405035054707, 0.48719167692851834, 0.6578395480004622, 0.9681075474509002], [0.49977216437826444, 0.44386554485339974, 0.9983313182703025, 0.9912199398535162]], [[0.6894290657584974, 0.8928310287128969, 0.9365630542206704, 0.027283566147985706], [0.7407641065171158, 0.3690927786583866, 0.1936902776339087, 0.8183696121441292], [0.4925533774665399, 0.6671004017313702, 0.07137518658230921, 0.3455178145537145], [0.2399100678734768, 0.6383117244163734, 0.11563419594534936, 0.8695152740926783]]], [[0.5426305757076719, 0.7299368924986215, 0.42294615649808154, 0.023680305834328057], [0.3039213419804203, 0.17234008799227274, 0.8088740135710454, 0.906207581977543], [0.7016649174854104, 0.33393721583601454, 0.2762844358631067, 0.7496846062074081]]]"
0.32907516652457014,"[[[[0.8416014687386899, 0.08168104063302313, 0.8953770176353426, 0.5024980508220734], [0.9784114970281258, 0.016761691619926085, 0.5547148905526114, 0.4403840925207409], [0.1596030218476927, 0.6178776207993826, 0.8917889835720796, 0.0015117764822521152], [0.5088578228757037, 0.17067296736604665, 0.9825100875248655, 0.07592489886752905]], [[0.34361362545722096, 0.7773481721439452, 0.12665706341181415, 0.10044728013168862], [0.5574885163169662, 0.37164336610840193, 0.7009484961972844, 0.44380070968208746], [0.6656035740672301, 0.48692893520947833, 0.6579823521314834, 0.96856252538534], [0.4999264285519212, 0.44396242945080017, 0.9985766720937105, 0.9916881780637421]], [[0.6893310083584958, 0.8934253439209383, 0.9365209901543881, 0.02681508015454072], [0.7411950004167452, 0.36921839725930056, 0.19453999570978495, 0.818037046688135], [0.4928612011473648, 0.6679347870942444, 0.07197860654552132, 0.34591248101344385], [0.2400361755725677, 0.639016953294294, 0.11521192105532775, 0.8699906759013589]]], [[0.5433675349338944, 0.7300419938968277, 0.42298645416845826, 0.024420090610339076], [0.30404278469551527, 0.17259171602875473, 0.8094421677487638, 0.9067265351302901], [0.7022293374389708, 0.33398547401629197, 0.2764920402207336, 0.7497200073935613]]]"
0.3296304336861958,"[[[[0.7847386153901245, 0.14083409405230102, 0.9585528671341788, 0.5946776196382598], [1.019290791955027, 0.06584354273123197, 0.5327879967813912, 0.5743140859538477], [0.23307069068625935, 0.684481873819633, 0.9493204263307117, -0.04024713171664169], [0.5350960340988651, 0.26162022351132247, 1.0172781861012061, 0.13943569699498212]], [[0.3264598307580105, 0.8441694998086299, 0.17778555587442085, 0.22697788573285824], [0.5653307101957723, 0.49872084452349635, 0.7440706815763148, 0.48400013518329427], [0.6626828215547169, 0.5026960621323627, 0.625708181594742, 0.9748142905650192], [0.4386062916189188, 0.42784975770326406, 1.1850623837762875, 1.0089098289141702]], [[0.7108451128328832, 0.9648342322581581, 1.0115373738897753, 0.1527511616614642], [0.8541220270605535, 0.5211783666260568, 0.258877867953331, 0.8815319551879498], [0.5548744354171676, 0.656787565134255, 0.1902565809854354, 0.4226412305265255], [0.19982134073632654, 0.632548782790768, 0.15771416149933928, 1.0372036432838159]]], [[0.5340887118377954, 0.7298370033450203, 0.4190512303910532, 0.02135742091731889], [0.25748253321298903, 0.10373547874085393, 0.7995503241503652, 0.9080006901457016], [0.6719505901524371, 0.3281498819108614, 0.2793079848540953, 0.70918460454785]]]"
0.33301351525693146,"[[[[0.7844818992205206, 0.1406625744769375, 0.9581119723174316, 0.5949795040454506], [1.0198006928045937, 0.06630875983655589, 0.5329465887296089, 0.573850347071149], [0.23270939620045755, 0.6849018252627459, 0.9495486507967914, -0.040129631957894235], [0.534733315768916, 0.26111403576559405, 1.0164558931331502, 0.13921558549098548]], [[0.32635623962872984, 0.8438710995019475, 0.17804487526206536, 0.2271867701477344], [0.5657505368313257, 0.499067450168577, 0.7436366285613087, 0.48415364085601176], [0.6623910208717907, 0.5025366658813656, 0.6256602858568412, 0.9749827568532133], [0.43948929819602706, 0.42787418455790527, 1.184983990388322, 1.0091632318246044]], [[0.7113792134795688, 0.9645113403425393, 1.0115224877750877, 0.15291849925156897], [0.854394653963098, 0.5210564783440758, 0.2594708924214977, 0.8816353769630075], [0.5546829074676234, 0.6564344667213254, 0.19024373281712964, 0.422100185288484], [0.19999478812276578, 0.6328506558228952, 0.15765935843285472, 1.0371540840845952]]], [[0.5339734934396781, 0.7293935723313657, 0.41880317867931804, 0.020592344982805325], [0.25747636105815963, 0.10336212472742459, 0.7993617008973484, 0.9077222103260496], [0.6718494074487456, 0.3276847890150267, 0.278993931065599, 0.7086019887712911]]]"
0.3336589906085399,"[[[[0.8611033012829673, 0.20368238556632387, 1.0267879626010505, 0.6809470360790469], [1.126697923904565, 0.125896872565104, 0.6707474783541677, 0.6721241600252781], [0.340333596455495, 0.7363596041467998, 1.0070840687926133, 0.14543619948475497], [0.6929106339105155, 0.4235158546072871, 1.188182453867481, 0.2632428189306067]], [[0.37313235265370875, 0.962006996152109, 0.40389395272878986, 0.32637811004668515], [0.7299894615911212, 0.7624118185595181, 0.9231701361340126, 0.6743131896718866], [0.5962826696697887, 0.5353221534313691, 0.7076745266894938, 1.1515547639199046], [0.5449482149907469, 0.46026117823857515, 1.244459087516004, 1.062717439643572]], [[0.5832498185405302, 1.0723027358525858, 1.206339843525172, 0.41132110903637376], [0.9509118969461803, 0.7135404410309372, 0.35989682392233097, 1.0102554966679973], [0.6000867667693607, 0.8750041196389856, 0.22255446242222401, 0.6087403560191258], [0.2830812397405667, 0.818510653500723, 0.06739706155034184, 1.100704427873127]]], [[0.5380127306244938, 0.7565146045892346, 0.42420432750843506, 0.04178051808077381], [0.26278956413455706, 0.11580948850095717, 0.8215735774970334, 0.8898333096638377], [0.6760991325676566, 0.3327045290461207, 0.3055505825656044, 0.7109068013615384]]]"
0.33069368269855703,"[[[[0.5793708426008283, 0.3046225724509283, 0.7349247739220963, 0.9006812017004315], [0.6215085761931578, 0.6294281550179239, 0.3943010041340372, 0.30622701567866767], [0.2308064188576364, 0.725304101773188, 0.8412506902082542, 0.8451461625365061], [0.9459024042528726, 0.9810877129343679, 0.9285614179307683, 0.6365178224055733]], [[0.7760298498081908, 0.9857358804241022, 0.173363321799976, 0.002726678014691137], [0.21598830298856378, 0.7089884213338279, 0.24202732191103588, 0.6755617343154804], [0.9508275074178888, 0.504877782405049, 0.9274356029700908, 0.9323125787959312], [0.9487546493461585, 0.8717515651357352, 0.7201217669855242, 0.73571354413407]], [[0.6473788369913046, 0.2812861916992825, 0.8795781358095955, 0.4467812499261537], [0.16299647507653509, 0.37985131593617355, 0.03972149249340583, 0.8366546923372646], [0.7930309511244396, 0.014995058330059704, 0.8962437393339787, 0.8903664215091386], [0.2496931807735503, 0.2245653771006072, 0.47659386442115753, 0.6139269549988323]]], [[0.026269210511448704, 0.409592788635733, 0.758233913233141, 0.22740082938888215], [0.5771981061791239, 0.38226850813787167, 0.055235233211440526, 0.40935792528975035], [0.2535413642018399, 0.7984315650590366, 0.6181161430775622, 0.5349877145292132]]]"
0.33175783526264574,"[[[[0.5791478227029732, 0.30121421860996217, 0.7299375311700764, 0.8951010367689277], [0.6174594649741932, 0.6256289106398142, 0.3901812155985387, 0.30248502860418847], [0.2312774327172782, 0.7241067463751076, 0.8347266089060852, 0.843499570223434], [0.9402808467807292, 0.9767275418475289, 0.9285757318809797, 0.6358213239434786]], [[0.7746308981819053, 0.9830605106371287, 0.17399294155993267, 0.0002508295078032484], [0.21241517543911004, 0.7057222477356168, 0.23907714886648393, 0.6682674956856193], [0.9487547153684195, 0.5036070494247872, 0.920547133692096, 0.9276661637215962], [0.9480994505477791, 0.8669911211519208, 0.7219066592037888, 0.7334199714787878]], [[0.6445315928759809, 0.2788152568596988, 0.8765252046781008, 0.4445943023227392], [0.16501204484694545, 0.3768145858977209, 0.03628732975016511, 0.8326604225430636], [0.7956236657577842, 0.013972824034546456, 0.894995057804305, 0.8887406636577138], [0.24567935145704745, 0.22273754200956514, 0.4783477160243135, 0.6082846717802425]]], [[0.022495476148095193, 0.4082588898774614, 0.7599895717497588, 0.22721152900368458], [0.5746657335601297, 0.3810178962670686, 0.0529025206124832, 0.40792534826654236], [0.25068137839535143, 0.7953498823105563, 0.6185416053687285, 0.5345533026878447]]]"
0.3319681287048186,"[[[[0.6210754789547444, 0.36224663254203765, 0.7787251890642011, 0.9986513156038401], [0.732696889720392, 0.6520733969155138, 0.4384691928206104, 0.3624849398064285], [0.35603296968038867, 0.7928483488175482, 0.8486784491297084, 0.897816299077915], [1.0167800712885269, 1.061216935663941, 0.999402369806367, 0.6686984382759146]], [[0.8532987034518973, 0.9835532311896351, 0.2784831494577416, 0.11736291982000444], [0.2926697854987094, 0.7460115986474215, 0.26193441928937167, 0.7466828565109095], [0.9109934114109035, 0.5308780344812268, 0.9554800934521257, 1.0074240026184273], [1.0206272328049633, 0.8870554061619219, 0.7606862685637439, 0.8275434657101955]], [[0.7363615881926421, 0.2600117558853775, 0.9615819511899906, 0.45675515123717875], [0.21121864871124185, 0.4374364347600249, 0.1517894296587537, 0.8180379088401709], [0.9030333806763207, 0.13300453995626577, 0.9795399747160158, 0.9047794751255999], [0.24547235083298843, 0.30424314451171885, 0.5828722621082328, 0.7129819179144219]]], [[0.1146862424688908, 0.5100321256887886, 0.8489389702158235, 0.30210479649819544], [0.6571719738248429, 0.4315396854144528, 0.13290252187984627, 0.5192389408092803], [0.3622016577424718, 0.8344469721043551, 0.6206609842972189, 0.5573475772012592]]]"
0.33292064328320387,"[[[[0.6238026361838965, 0.3615006301773561, 0.781790275245267, 0.9998373170860503], [0.7303900322312186, 0.6476035275703703, 0.43758290628925683, 0.3617525019814587], [0.35454646819797103, 0.7888808462796746, 0.8459136608458644, 0.8982399712548674], [1.0191114717828365, 1.0613609170008729, 0.9973063213712281, 0.6617644671821727]], [[0.8566453459692511, 0.9790907626938431, 0.27780831132563105, 0.11830187066658385], [0.29279474445333387, 0.7466943080168513, 0.2650730821355466, 0.7428958095837521], [0.9158814142088814, 0.5298030406777969, 0.9509170070484712, 1.0059157938642624], [1.0203207821051576, 0.8844891601197504, 0.7553447852144624, 0.825237924383593]], [[0.7353761848821699, 0.2603300500029489, 0.9593245658032051, 0.4567146199278802], [0.21287842764723997, 0.43549303951537494, 0.15321994542603823, 0.8204723471043832], [0.9044700587813829, 0.12895516449465155, 0.9749901119721641, 0.9030958451548552], [0.2439765414321476, 0.30339856380468744, 0.5854977854678314, 0.7121313636564732]]], [[0.11365738836626575, 0.5089414701992504, 0.8491446873794959, 0.3002501657934899], [0.6580203999990006, 0.430726264252492, 0.1319612759948896, 0.5188636865350342], [0.36339859900125593, 0.8331053217089174, 0.6217449333453728, 0.5563052843367264]]]"
